poem_id,master_poem_id
skvr07200700,skvr07215710
skvr07116870,skvr07215710
skvr07115000,skvr07215710
skvr07216220,skvr07215950
skvr07217700,skvr07215960
skvr07220560,skvr07215970
skvr07221180,skvr07215970
skvr07217060,skvr07216050
skvr07217090,skvr07216150
skvr07220580,skvr07216300
skvr07227830,skvr07216340
skvr07200890,skvr07216350
skvr07200650,skvr07216370
skvr07220180,skvr07216370
skvr07216550,skvr07216560
skvr07217930,skvr07216560
skvr07220780,skvr07216590
skvr07220840,skvr07216650
skvr07218350,skvr07217290
skvr07200850,skvr07217420
skvr07106640,skvr07217580
skvr07200730,skvr07217580
skvr07216570,skvr07217580
skvr07215760,skvr07217580
skvr07218570,skvr07217620
skvr07218580,skvr07217630
skvr07105950,skvr07217760
skvr07200710,skvr07217970
skvr07251980,skvr07218530
skvr07230090,skvr07218690
skvr07216660,skvr07218840
skvr07224640,skvr07219020
skvr07216580,skvr07219160
skvr07220770,skvr07219160
skvr07218110,skvr07219190
skvr06141710,skvr07219610
skvr07232800,skvr07219760
skvr07225910,skvr07219780
skvr07225920,skvr07219790
skvr07217310,skvr07220090
skvr07217120,skvr07220220
skvr07218010,skvr07220740
skvr07218040,skvr07220750
skvr07230020,skvr07221100
skvr07218250,skvr07221100
skvr07226030,skvr07221370
skvr07225940,skvr07221930
skvr07249550,skvr07222340
skvr07215790,skvr07222340
skvr07249580,skvr07222900
skvr07249590,skvr07222910
skvr07249640,skvr07222920
skvr07229420,skvr07223200
skvr06134820,skvr07223760
skvr07247790,skvr07224090
skvr07217730,skvr07225270
skvr07229930,skvr07225280
skvr07229920,skvr07225290
skvr07229940,skvr07225320
skvr07221530,skvr07226230
skvr07231570,skvr07226380
skvr07115860,skvr07226910
skvr07116530,skvr07227100
skvr07115870,skvr07227100
skvr07202610,skvr07227280
skvr07204370,skvr07227290
skvr07106970,skvr07227520
skvr07106971,skvr07227580
skvr07218120,skvr07228300
skvr07216930,skvr07228780
skvr07250150,skvr07229200
skvr07218080,skvr07230320
skvr07208980,skvr07231350
skvr06150380,skvr07236390
skvr07200310,skvr07238140
skvr07220200,skvr07238990
skvr06153980,skvr07239710
skvr06154020,skvr07239760
skvr07204870,skvr07242360
skvr07117501,skvr07243380
skvr07221120,skvr07243710
skvr06159210,skvr07244590
skvr07215820,skvr07247180
skvr06161060,skvr07247190
skvr07113200,skvr07248490
skvr07116790,skvr07248490
skvr07128310,skvr07248490
skvr07106570,skvr07248510
skvr07217740,skvr07248530
skvr07206200,skvr07248580
skvr07206390,skvr07248730
skvr07220230,skvr07249940
skvr07220240,skvr07249950
skvr09110510,skvr08118840
skvr08148550,skvr08128830
skvr08134780,skvr08149320
skvr10100770,skvr09100570
